Date,Price
05/03/2008,1753.569946
06/03/2008,1712.5
07/03/2008,1707.5
10/03/2008,1673.030029
11/03/2008,1740.949951
12/03/2008,1735.180054
13/03/2008,1750.400024
14/03/2008,1713.829956
17/03/2008,1687.189941
18/03/2008,1761.050049
19/03/2008,1715.589966
20/03/2008,1751.98999
24/03/2008,1814.400024
25/03/2008,1824.540039
26/03/2008,1817.280029
27/03/2008,1777.890015
28/03/2008,1767.569946
31/03/2008,1781.930054
01/04/2008,1855.47998
02/04/2008,1848.800049
03/04/2008,1855.189941
04/04/2008,1865.869995
07/04/2008,1860.829956
08/04/2008,1846.140015
09/04/2008,1826.189941
10/04/2008,1852.969971
11/04/2008,1798.719971
14/04/2008,1790.930054
15/04/2008,1794.72998
16/04/2008,1846.890015
17/04/2008,1840.880005
18/04/2008,1900.280029
21/04/2008,1913.119995
22/04/2008,1881.650024
23/04/2008,1906.660034
24/04/2008,1924.579956
25/04/2008,1918.579956
28/04/2008,1923.26001
29/04/2008,1933.599976
30/04/2008,1917.699951
01/05/2008,1980.439941
02/05/2008,1981.869995
05/05/2008,1975.819946
06/05/2008,1990.609985
07/05/2008,1951.420044
08/05/2008,1966.859985
09/05/2008,1960.290039
12/05/2008,1997.02002
13/05/2008,2000.609985
14/05/2008,1997.300049
15/05/2008,2031.339966
16/05/2008,2031.27002
19/05/2008,2016.599976
20/05/2008,2000.670044
21/05/2008,1956.800049
22/05/2008,1964.920044
23/05/2008,1958.959961
27/05/2008,1995.439941
28/05/2008,2000.069946
29/05/2008,2019.02002
30/05/2008,2032.569946
02/06/2008,2006.839966
03/06/2008,1996.790039
04/06/2008,2021.449951
05/06/2008,2055.110107
06/06/2008,1990.390015
09/06/2008,1979.709961
10/06/2008,1972.540039
11/06/2008,1924.329956
12/06/2008,1924.26001
13/06/2008,1966.01001
16/06/2008,1984.76001
17/06/2008,1972.819946
18/06/2008,1951.099976
19/06/2008,1982.689941
20/06/2008,1928.390015
23/06/2008,1913.310059
24/06/2008,1903.73999
25/06/2008,1933.859985
26/06/2008,1855.390015
27/06/2008,1855.719971
30/06/2008,1837.089966
01/07/2008,1862.709961
02/07/2008,1816.150024
03/07/2008,1816.349976
07/07/2008,1826.930054
08/07/2008,1871.280029
09/07/2008,1819.180054
10/07/2008,1839.569946
11/07/2008,1810.880005
14/07/2008,1798.030029
15/07/2008,1798.349976
16/07/2008,1843.869995
17/07/2008,1853.469971
18/07/2008,1823.22998
21/07/2008,1819.76001
22/07/2008,1821.619995
23/07/2008,1845.560059
24/07/2008,1816.97998
25/07/2008,1846.550049
28/07/2008,1802.98999
29/07/2008,1845.550049
30/07/2008,1852.800049
31/07/2008,1849.150024
